Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time,EigenValue #0,EigenValue #1,EigenValue #2,EigenValue #3,EigenValue #4,EigenValue #5,EigenValue #6,EigenValue #7,EigenValue #8,EigenValue #9
2016-12-18_13:08,1000,391,2,3,386,0.511509,8121,4,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:08,1500,391,2,3,386,0.511509,8121,3,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:08,2000,391,8,3,380,2.04604,8121,4,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,2500,391,15,3,373,3.83632,8121,3,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,3000,391,25,3,363,6.39386,8121,4,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,3500,391,41,3,347,10.4859,8121,3,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,4000,391,52,4,335,13.2992,8121,4,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,4500,391,62,5,324,15.8568,8121,4,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,5000,391,77,10,304,19.6931,8121,3,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,5500,391,83,16,292,21.2276,8121,3,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,6000,391,94,25,272,24.0409,8121,3,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,6500,391,100,31,260,25.5754,8121,3,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,7000,391,103,34,254,26.3427,8121,3,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,7500,391,116,47,228,29.6675,8121,3,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,8000,391,118,57,216,30.179,8121,3,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,8500,391,123,70,198,31.4578,8121,4,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
2016-12-18_13:09,9000,391,126,86,179,32.2251,8121,3,2.96037e+08,1.35454e+08,1.03308e+08,8.85666e+07,8.06502e+07,6.58857e+07,6.0445e+07,3.17249e+07,3.03844e+07,2.55027e+07
