Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time,EigenValue #0,EigenValue #1,EigenValue #2,EigenValue #3,EigenValue #4,EigenValue #5,EigenValue #6,EigenValue #7,EigenValue #8,EigenValue #9
2016-12-28_20:13,10000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,11000,40,40,0,0,100,8,1,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,12000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,13000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,14000,40,40,0,0,100,8,1,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,15000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,16000,40,40,0,0,100,8,1,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,17000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,18000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,19000,40,40,0,0,100,8,1,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,20000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,21000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,22000,40,40,0,0,100,8,1,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,23000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,24000,40,40,0,0,100,8,1,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,25000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,26000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,27000,40,40,0,0,100,8,1,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,28000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,29000,40,40,0,0,100,8,1,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,30000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,31000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,32000,40,40,0,0,100,8,1,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,33000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,34000,40,40,0,0,100,8,0,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
2016-12-28_20:13,35000,40,40,0,0,100,8,1,2.80113e+06,2.09783e+06,1.06757e+06,896051,823670,541532,417294,365308,313127,296180
