Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time,EigenValue #0,EigenValue #1,EigenValue #2,EigenValue #3,EigenValue #4,EigenValue #5,EigenValue #6,EigenValue #7,EigenValue #8,EigenValue #9
2016-12-20_21:25,1000,883,41,9,833,4.64326,6155,0,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,1500,883,79,151,653,8.94677,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,2000,883,118,465,300,13.3635,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,2500,883,138,656,89,15.6285,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,3000,883,149,701,33,16.8743,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,3500,883,150,728,5,16.9875,6155,0,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,4000,883,150,732,1,16.9875,6155,0,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,4500,883,150,732,1,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,5000,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,5500,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,6000,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,6500,883,150,733,0,16.9875,6155,0,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,7000,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,7500,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,8000,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,8500,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,9000,883,150,733,0,16.9875,6155,0,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,9500,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,10000,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,10500,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,11000,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,11500,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,12000,883,150,733,0,16.9875,6155,0,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,12500,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,13000,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,13500,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,14000,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,14500,883,150,733,0,16.9875,6155,0,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_21:25,15000,883,150,733,0,16.9875,6155,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
2016-12-20_23:04,1000,883,41,9,833,4.64326,5943,1,8.09453e+06,5.9583e+06,4.65845e+06,2.24471e+06,1.48774e+06,1.11211e+06,937115,867476,622394,507780
