Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time,EigenValue #0,EigenValue #1,EigenValue #2,EigenValue #3,EigenValue #4,EigenValue #5,EigenValue #6,EigenValue #7,EigenValue #8,EigenValue #9
2016-12-28_16:49,10000,605,144,461,0,23.8017,8369,143,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_16:52,11000,605,144,461,0,23.8017,8369,144,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_16:54,12000,605,144,461,0,23.8017,8369,144,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_16:57,13000,605,144,461,0,23.8017,8369,143,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_16:59,14000,605,144,461,0,23.8017,8369,144,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_17:01,15000,605,144,461,0,23.8017,8369,144,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_17:04,16000,605,144,461,0,23.8017,8369,144,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_17:06,17000,605,144,461,0,23.8017,8369,143,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_17:09,18000,605,144,461,0,23.8017,8369,143,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_17:11,19000,605,144,461,0,23.8017,8369,143,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_17:13,20000,605,144,461,0,23.8017,8369,144,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_17:16,21000,605,144,461,0,23.8017,8369,143,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_17:18,22000,605,144,461,0,23.8017,8369,143,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_17:21,23000,605,144,461,0,23.8017,8369,143,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_17:23,24000,605,144,461,0,23.8017,8369,144,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_17:25,25000,605,144,461,0,23.8017,8369,143,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
2016-12-28_17:28,26000,605,144,461,0,23.8017,8369,143,8.12501e+06,5.8823e+06,4.6104e+06,2.22808e+06,1.47863e+06,1.13281e+06,934757,874801,634226,520690
