Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time,EigenValue #0,EigenValue #1,EigenValue #2,EigenValue #3,EigenValue #4,EigenValue #5,EigenValue #6,EigenValue #7,EigenValue #8,EigenValue #9
2016-12-19_10:34,1000,265,3,27,235,1.13208,938,0,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,1500,265,8,74,183,3.01887,938,1,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,2000,265,33,135,97,12.4528,938,0,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,2500,265,49,169,47,18.4906,938,0,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,3000,265,54,191,20,20.3774,938,0,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,3500,265,57,200,8,21.5094,938,1,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,4000,265,61,202,2,23.0189,938,0,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,4500,265,61,203,1,23.0189,938,0,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,5000,265,61,204,0,23.0189,938,0,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,5500,265,61,204,0,23.0189,938,1,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,6000,265,61,204,0,23.0189,938,0,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,6500,265,61,204,0,23.0189,938,0,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,7000,265,61,204,0,23.0189,938,1,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,7500,265,61,204,0,23.0189,938,0,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,8000,265,61,204,0,23.0189,938,0,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
2016-12-19_10:34,8500,265,61,204,0,23.0189,938,0,4.36893e+07,4.23931e+07,5.96141e+06,3.42463e+06,1.83092e+06,1.76324e+06,1.32585e+06,1.15027e+06,901953,802706
