Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time,EigenValue #0,EigenValue #1,EigenValue #2,EigenValue #3,EigenValue #4,EigenValue #5,EigenValue #6,EigenValue #7,EigenValue #8,EigenValue #9
2016-12-25_18:54,10000,265,199,66,0,75.0943,1144,45,4.35364e+07,4.25868e+07,5.83159e+06,3.4303e+06,1.79416e+06,1.70439e+06,1.29947e+06,1.10464e+06,893134,801475
2016-12-25_18:54,11000,265,199,66,0,75.0943,1144,46,4.35364e+07,4.25868e+07,5.83159e+06,3.4303e+06,1.79416e+06,1.70439e+06,1.29947e+06,1.10464e+06,893134,801475
2016-12-25_18:55,12000,265,199,66,0,75.0943,1144,46,4.35364e+07,4.25868e+07,5.83159e+06,3.4303e+06,1.79416e+06,1.70439e+06,1.29947e+06,1.10464e+06,893134,801475
2016-12-25_18:56,13000,265,199,66,0,75.0943,1144,46,4.35364e+07,4.25868e+07,5.83159e+06,3.4303e+06,1.79416e+06,1.70439e+06,1.29947e+06,1.10464e+06,893134,801475
2016-12-25_18:57,14000,265,199,66,0,75.0943,1144,46,4.35364e+07,4.25868e+07,5.83159e+06,3.4303e+06,1.79416e+06,1.70439e+06,1.29947e+06,1.10464e+06,893134,801475
2016-12-25_18:57,15000,265,199,66,0,75.0943,1144,46,4.35364e+07,4.25868e+07,5.83159e+06,3.4303e+06,1.79416e+06,1.70439e+06,1.29947e+06,1.10464e+06,893134,801475
2016-12-25_18:58,16000,265,199,66,0,75.0943,1144,45,4.35364e+07,4.25868e+07,5.83159e+06,3.4303e+06,1.79416e+06,1.70439e+06,1.29947e+06,1.10464e+06,893134,801475
2016-12-25_18:59,17000,265,199,66,0,75.0943,1144,46,4.35364e+07,4.25868e+07,5.83159e+06,3.4303e+06,1.79416e+06,1.70439e+06,1.29947e+06,1.10464e+06,893134,801475
2016-12-25_19:00,18000,265,199,66,0,75.0943,1144,46,4.35364e+07,4.25868e+07,5.83159e+06,3.4303e+06,1.79416e+06,1.70439e+06,1.29947e+06,1.10464e+06,893134,801475
2016-12-25_19:00,19000,265,199,66,0,75.0943,1144,46,4.35364e+07,4.25868e+07,5.83159e+06,3.4303e+06,1.79416e+06,1.70439e+06,1.29947e+06,1.10464e+06,893134,801475
2016-12-25_19:01,20000,265,199,66,0,75.0943,1144,46,4.35364e+07,4.25868e+07,5.83159e+06,3.4303e+06,1.79416e+06,1.70439e+06,1.29947e+06,1.10464e+06,893134,801475
