Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-28_10:06,0,391,0,0,391,0,175,111
2016-12-28_10:11,5,391,154,5,232,39.3862,172,107
2016-12-28_10:16,10,391,231,36,124,59.0793,170,107
2016-12-28_10:21,15,391,262,88,41,67.0077,175,110
2016-12-28_10:25,20,391,274,110,7,70.0767,170,107
2016-12-28_10:30,25,391,278,111,2,71.0997,166,104
2016-12-28_10:35,30,391,278,112,1,71.0997,171,104
2016-12-28_10:39,35,391,278,113,0,71.0997,171,106
2016-12-28_10:44,40,391,278,113,0,71.0997,176,108
2016-12-28_10:49,45,391,278,113,0,71.0997,171,106
2016-12-28_10:53,50,391,278,113,0,71.0997,171,113
2016-12-28_10:58,55,391,278,113,0,71.0997,169,107
2016-12-28_11:03,60,391,278,113,0,71.0997,174,109
2016-12-28_11:07,65,391,278,113,0,71.0997,166,106
2016-12-28_11:12,70,391,278,113,0,71.0997,171,112
2016-12-28_11:17,75,391,278,113,0,71.0997,171,109
2016-12-28_11:21,80,391,278,113,0,71.0997,166,111
2016-12-28_11:26,85,391,278,113,0,71.0997,170,109
2016-12-28_11:31,90,391,278,113,0,71.0997,173,111
2016-12-28_11:35,95,391,278,113,0,71.0997,182,113
2016-12-28_11:40,100,391,278,113,0,71.0997,173,131
2016-12-28_11:45,105,391,278,113,0,71.0997,174,109
2016-12-28_11:50,110,391,278,113,0,71.0997,170,107
2016-12-28_11:55,115,391,278,113,0,71.0997,175,107
2016-12-28_12:00,120,391,278,113,0,71.0997,175,110
2016-12-28_12:04,125,391,278,113,0,71.0997,173,113
2016-12-28_12:09,130,391,278,113,0,71.0997,170,111
2016-12-28_12:14,135,391,278,113,0,71.0997,176,108
2016-12-28_12:19,140,391,278,113,0,71.0997,172,111
2016-12-28_12:23,145,391,278,113,0,71.0997,170,108
2016-12-28_12:28,150,391,278,113,0,71.0997,172,106
2016-12-28_12:33,155,391,278,113,0,71.0997,169,108
2016-12-28_12:37,160,391,278,113,0,71.0997,166,110
2016-12-28_12:42,165,391,278,113,0,71.0997,169,109
2016-12-28_12:47,170,391,278,113,0,71.0997,166,107
2016-12-28_12:51,175,391,278,113,0,71.0997,174,108
2016-12-28_12:56,180,391,278,113,0,71.0997,175,110
2016-12-28_13:01,185,391,278,113,0,71.0997,174,109
2016-12-28_13:05,190,391,278,113,0,71.0997,169,108
2016-12-28_13:10,195,391,278,113,0,71.0997,170,108
2016-12-28_13:15,200,391,278,113,0,71.0997,177,109
