Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-26_20:07,2,40,0,0,40,0,1,1
2016-12-26_20:07,4,40,0,0,40,0,0,1
2016-12-26_20:07,6,40,0,0,40,0,1,1
2016-12-26_20:07,8,40,0,0,40,0,1,1
2016-12-26_20:07,10,40,0,0,40,0,1,1
2016-12-26_20:07,12,40,0,0,40,0,0,1
2016-12-26_20:07,14,40,0,0,40,0,0,1
2016-12-26_20:07,16,40,0,0,40,0,1,2
2016-12-26_20:07,18,40,0,0,40,0,0,1
2016-12-26_20:07,20,40,0,0,40,0,1,1
2016-12-26_20:07,22,40,0,0,40,0,1,1
2016-12-26_20:07,24,40,0,0,40,0,0,2
2016-12-26_20:07,26,40,0,0,40,0,0,1
2016-12-26_20:07,28,40,0,0,40,0,1,1
2016-12-26_20:07,30,40,2,0,38,5,1,1
2016-12-26_20:07,32,40,6,0,34,15,1,1
2016-12-26_20:07,34,40,12,0,28,30,0,1
2016-12-26_20:07,36,40,18,0,22,45,1,1
2016-12-26_20:07,38,40,21,0,19,52.5,1,1
2016-12-26_20:07,40,40,21,0,19,52.5,1,1
2016-12-26_20:08,42,40,29,0,11,72.5,0,1
2016-12-26_20:08,44,40,30,0,10,75,0,1
2016-12-26_20:08,46,40,33,0,7,82.5,1,1
2016-12-26_20:08,48,40,34,0,6,85,1,1
2016-12-26_20:08,50,40,35,0,5,87.5,0,2
2016-12-26_20:08,52,40,37,0,3,92.5,0,1
2016-12-26_20:08,54,40,40,0,0,100,1,1
2016-12-26_20:08,56,40,40,0,0,100,1,1
2016-12-26_20:08,58,40,40,0,0,100,0,2
2016-12-26_20:08,60,40,40,0,0,100,0,1
2016-12-26_20:08,62,40,40,0,0,100,1,1
2016-12-26_20:08,64,40,40,0,0,100,1,1
2016-12-26_20:08,66,40,40,0,0,100,1,1
2016-12-26_20:08,68,40,40,0,0,100,0,1
2016-12-26_20:08,70,40,40,0,0,100,1,1
2016-12-26_20:08,72,40,40,0,0,100,1,1
2016-12-26_20:08,74,40,40,0,0,100,1,1
2016-12-26_20:08,76,40,40,0,0,100,0,1
2016-12-26_20:08,78,40,40,0,0,100,0,1
2016-12-26_20:08,80,40,40,0,0,100,1,1
2016-12-26_20:08,82,40,40,0,0,100,1,1
2016-12-26_20:08,84,40,40,0,0,100,0,2
2016-12-26_20:08,86,40,40,0,0,100,0,1
2016-12-26_20:08,88,40,40,0,0,100,1,1
2016-12-26_20:08,90,40,40,0,0,100,1,1
2016-12-26_20:08,92,40,40,0,0,100,0,2
2016-12-26_20:08,94,40,40,0,0,100,0,1
2016-12-26_20:08,96,40,40,0,0,100,1,1
2016-12-26_20:08,98,40,40,0,0,100,1,1
2016-12-26_20:08,100,40,40,0,0,100,1,1
