Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-28_18:33,0,40,0,0,40,0,1,1
2016-12-28_18:33,5,40,0,0,40,0,1,1
2016-12-28_18:33,10,40,0,0,40,0,1,1
2016-12-28_18:33,15,40,0,0,40,0,1,2
2016-12-28_18:33,20,40,0,0,40,0,0,2
2016-12-28_18:33,25,40,0,0,40,0,0,2
2016-12-28_18:33,30,40,2,0,38,5,0,2
2016-12-28_18:33,35,40,13,0,27,32.5,1,1
2016-12-28_18:33,40,40,24,0,16,60,1,1
2016-12-28_18:33,45,40,31,0,9,77.5,1,1
2016-12-28_18:34,50,40,34,0,6,85,1,1
2016-12-28_18:34,55,40,37,0,3,92.5,1,1
2016-12-28_18:34,60,40,38,1,1,95,1,1
2016-12-28_18:34,65,40,39,1,0,97.5,1,2
2016-12-28_18:34,70,40,39,1,0,97.5,0,2
2016-12-28_18:34,75,40,39,1,0,97.5,0,2
2016-12-28_18:34,80,40,39,1,0,97.5,0,2
2016-12-28_18:34,85,40,39,1,0,97.5,0,2
2016-12-28_18:34,90,40,39,1,0,97.5,0,2
2016-12-28_18:34,95,40,39,1,0,97.5,0,2
2016-12-28_18:34,100,40,39,1,0,97.5,0,2
2016-12-28_18:34,105,40,39,1,0,97.5,0,2
2016-12-28_18:34,110,40,39,1,0,97.5,0,2
2016-12-28_18:34,115,40,39,1,0,97.5,0,2
2016-12-28_18:34,120,40,39,1,0,97.5,0,1
2016-12-28_18:34,125,40,39,1,0,97.5,1,2
2016-12-28_18:34,130,40,39,1,0,97.5,0,2
2016-12-28_18:34,135,40,39,1,0,97.5,1,1
2016-12-28_18:34,140,40,39,1,0,97.5,1,2
2016-12-28_18:34,145,40,39,1,0,97.5,0,2
2016-12-28_18:34,150,40,39,1,0,97.5,1,1
2016-12-28_18:34,155,40,39,1,0,97.5,1,1
2016-12-28_18:34,160,40,39,1,0,97.5,1,1
2016-12-28_18:34,165,40,39,1,0,97.5,1,1
2016-12-28_18:34,170,40,39,1,0,97.5,1,1
2016-12-28_18:34,175,40,39,1,0,97.5,1,1
2016-12-28_18:34,180,40,39,1,0,97.5,1,2
2016-12-28_18:34,185,40,39,1,0,97.5,0,2
2016-12-28_18:34,190,40,39,1,0,97.5,1,1
2016-12-28_18:35,195,40,39,1,0,97.5,1,1
2016-12-28_18:35,200,40,39,1,0,97.5,1,1
