Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-20_19:42,2,883,9,0,874,1.01925,14,374
2016-12-20_19:49,4,883,9,0,874,1.01925,14,342
2016-12-20_19:55,6,883,9,0,874,1.01925,13,338
2016-12-20_20:01,8,883,9,0,874,1.01925,13,342
2016-12-20_20:06,10,883,9,0,874,1.01925,14,342
2016-12-20_20:12,12,883,9,0,874,1.01925,12,348
2016-12-20_20:18,14,883,9,0,874,1.01925,12,362
2016-12-20_20:25,16,883,9,0,874,1.01925,14,373
2016-12-20_20:31,18,883,9,0,874,1.01925,14,375
2016-12-20_20:38,20,883,9,0,874,1.01925,14,374
2016-12-20_20:44,22,883,9,0,874,1.01925,14,372
2016-12-20_20:50,24,883,9,0,874,1.01925,14,374
2016-12-20_20:57,26,883,10,0,873,1.1325,14,375
2016-12-20_21:03,28,883,13,0,870,1.47225,14,335
2016-12-20_21:09,30,883,23,0,860,2.60476,12,328
2016-12-20_21:15,32,883,35,0,848,3.96376,12,328
2016-12-20_21:21,34,883,55,0,828,6.22877,12,331
2016-12-20_21:26,36,883,84,0,799,9.51302,13,339
2016-12-20_21:32,38,883,113,4,766,12.7973,12,330
2016-12-20_21:38,40,883,147,20,716,16.6478,14,334
2016-12-20_21:44,42,883,183,50,650,20.7248,13,333
2016-12-20_21:49,44,883,228,102,553,25.8211,14,329
2016-12-20_21:55,46,883,262,148,473,29.6716,13,334
2016-12-20_22:01,48,883,293,202,388,33.1823,14,334
2016-12-20_22:07,50,883,308,255,320,34.8811,12,329
2016-12-20_22:12,52,883,324,304,255,36.6931,14,375
2016-12-20_22:19,54,883,334,344,205,37.8256,13,328
2016-12-20_22:25,56,883,343,376,164,38.8448,14,375
2016-12-20_22:31,58,883,354,412,117,40.0906,13,335
2016-12-20_22:37,60,883,359,438,86,40.6569,13,334
2016-12-20_22:43,62,883,361,455,67,40.8834,13,343
2016-12-20_22:49,64,883,363,467,53,41.1099,13,336
2016-12-20_22:54,66,883,364,474,45,41.2231,13,345
2016-12-20_23:00,68,883,364,486,33,41.2231,13,345
2016-12-20_23:06,70,883,364,491,28,41.2231,14,374
2016-12-20_23:13,72,883,365,492,26,41.3364,14,371
2016-12-20_23:19,74,883,365,492,26,41.3364,14,364
2016-12-20_23:26,76,883,366,496,21,41.4496,14,374
2016-12-20_23:32,78,883,366,501,16,41.4496,14,375
2016-12-20_23:39,80,883,366,504,13,41.4496,14,373
2016-12-20_23:45,82,883,367,504,12,41.5629,14,375
2016-12-20_23:52,84,883,367,508,8,41.5629,14,374
2016-12-20_23:58,86,883,367,510,6,41.5629,13,374
2016-12-21_00:04,88,883,367,510,6,41.5629,13,374
2016-12-21_00:11,90,883,367,510,6,41.5629,14,372
2016-12-21_00:17,92,883,367,511,5,41.5629,12,370
2016-12-21_00:24,94,883,367,511,5,41.5629,14,375
2016-12-21_00:30,96,883,367,511,5,41.5629,14,371
2016-12-21_00:37,98,883,367,512,4,41.5629,14,374
2016-12-21_00:43,100,883,367,512,4,41.5629,14,372
2016-12-21_00:50,2,883,9,0,874,1.01925,14,373
2016-12-21_00:56,4,883,9,0,874,1.01925,14,372
2016-12-21_01:02,6,883,9,0,874,1.01925,14,371
2016-12-21_01:09,8,883,9,0,874,1.01925,14,369
2016-12-21_01:15,10,883,9,0,874,1.01925,14,369
2016-12-21_01:22,12,883,9,0,874,1.01925,14,369
2016-12-21_01:28,14,883,9,0,874,1.01925,14,368
2016-12-21_01:34,16,883,9,0,874,1.01925,14,371
2016-12-21_01:41,18,883,9,0,874,1.01925,14,371
2016-12-21_01:47,20,883,9,0,874,1.01925,14,372
2016-12-21_01:54,22,883,9,0,874,1.01925,13,371
2016-12-21_02:00,24,883,9,0,874,1.01925,14,373
2016-12-21_02:07,26,883,10,0,873,1.1325,14,375
2016-12-21_02:13,28,883,13,0,870,1.47225,14,369
2016-12-21_02:19,30,883,23,0,860,2.60476,13,374
2016-12-21_02:26,32,883,35,0,848,3.96376,13,372
2016-12-21_02:32,34,883,55,0,828,6.22877,14,373
2016-12-21_02:39,36,883,84,0,799,9.51302,14,369
2016-12-21_02:45,38,883,113,4,766,12.7973,13,374
2016-12-21_02:52,40,883,147,20,716,16.6478,14,363
2016-12-21_02:58,42,883,183,50,650,20.7248,14,372
2016-12-21_03:04,44,883,228,102,553,25.8211,14,374
2016-12-21_03:11,46,883,262,148,473,29.6716,13,373
2016-12-21_03:17,48,883,293,202,388,33.1823,14,365
2016-12-21_03:24,50,883,308,255,320,34.8811,14,373
2016-12-21_03:30,52,883,324,304,255,36.6931,14,371
2016-12-21_03:36,54,883,334,344,205,37.8256,14,375
2016-12-21_03:43,56,883,343,376,164,38.8448,14,374
2016-12-21_03:49,58,883,354,412,117,40.0906,14,374
2016-12-21_03:56,60,883,359,438,86,40.6569,14,373
2016-12-21_04:02,62,883,361,455,67,40.8834,14,373
