Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-28_14:29,0,605,0,0,605,0,14,241
2016-12-28_14:33,5,605,11,0,594,1.81818,13,241
2016-12-28_14:38,10,605,11,0,594,1.81818,15,273
2016-12-28_14:42,15,605,11,0,594,1.81818,13,242
2016-12-28_14:47,20,605,11,0,594,1.81818,15,240
2016-12-28_14:51,25,605,11,0,594,1.81818,13,240
2016-12-28_14:55,30,605,22,0,583,3.63636,14,240
2016-12-28_14:59,35,605,55,0,550,9.09091,14,241
2016-12-28_15:04,40,605,110,14,481,18.1818,15,242
2016-12-28_15:08,45,605,175,87,343,28.9256,17,241
2016-12-28_15:12,50,605,203,177,225,33.5537,15,241
2016-12-28_15:17,55,605,225,251,129,37.1901,15,274
2016-12-28_15:21,60,605,235,293,77,38.843,15,244
2016-12-28_15:26,65,605,238,318,49,39.3388,14,273
2016-12-28_15:31,70,605,239,337,29,39.5041,15,269
2016-12-28_15:35,75,605,240,346,19,39.6694,14,265
2016-12-28_15:40,80,605,241,354,10,39.8347,14,269
2016-12-28_15:45,85,605,241,357,7,39.8347,15,271
2016-12-28_15:49,90,605,241,358,6,39.8347,14,269
2016-12-28_15:54,95,605,241,359,5,39.8347,15,271
2016-12-28_15:59,100,605,241,359,5,39.8347,13,262
2016-12-28_16:03,105,605,241,362,2,39.8347,14,259
2016-12-28_16:08,110,605,241,363,1,39.8347,15,273
2016-12-28_16:13,115,605,241,364,0,39.8347,15,243
2016-12-28_16:17,120,605,241,364,0,39.8347,14,241
2016-12-28_16:21,125,605,241,364,0,39.8347,13,240
2016-12-28_16:26,130,605,241,364,0,39.8347,13,242
2016-12-28_16:30,135,605,241,364,0,39.8347,13,244
2016-12-28_16:34,140,605,241,364,0,39.8347,13,242
2016-12-28_16:38,145,605,241,364,0,39.8347,13,243
2016-12-28_16:43,150,605,241,364,0,39.8347,13,241
2016-12-28_16:47,155,605,241,364,0,39.8347,15,265
2016-12-28_16:52,160,605,241,364,0,39.8347,15,266
2016-12-28_16:56,165,605,241,364,0,39.8347,14,266
2016-12-28_17:01,170,605,241,364,0,39.8347,12,268
2016-12-28_17:06,175,605,241,364,0,39.8347,13,268
2016-12-28_17:10,180,605,241,364,0,39.8347,14,267
2016-12-28_17:15,185,605,241,364,0,39.8347,14,267
2016-12-28_17:20,190,605,241,364,0,39.8347,15,264
2016-12-28_17:24,195,605,241,364,0,39.8347,15,267
2016-12-28_17:29,200,605,241,364,0,39.8347,15,273
