Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-19_10:19,2,265,0,0,265,0,12,56
2016-12-19_10:20,4,265,0,0,265,0,11,59
2016-12-19_10:21,6,265,0,0,265,0,12,56
2016-12-19_10:22,8,265,0,0,265,0,12,55
2016-12-19_10:23,10,265,0,0,265,0,12,52
2016-12-19_10:24,12,265,1,0,264,0.377358,12,59
2016-12-19_10:26,14,265,1,0,264,0.377358,12,52
2016-12-19_10:27,16,265,5,0,260,1.88679,11,52
2016-12-19_10:28,18,265,31,0,234,11.6981,12,51
2016-12-19_10:29,20,265,69,0,196,26.0377,11,52
2016-12-19_10:30,22,265,84,0,181,31.6981,12,55
2016-12-19_10:31,24,265,86,0,179,32.4528,13,58
2016-12-19_10:32,26,265,87,0,178,32.8302,13,53
2016-12-19_10:33,28,265,94,0,171,35.4717,11,53
2016-12-19_10:34,30,265,107,0,158,40.3774,11,54
2016-12-19_10:35,32,265,119,0,146,44.9057,11,54
2016-12-19_10:37,34,265,138,0,127,52.0755,12,58
2016-12-19_10:38,36,265,152,2,111,57.3585,13,58
2016-12-19_10:39,38,265,167,4,94,63.0189,13,57
2016-12-19_10:40,40,265,186,5,74,70.1887,12,58
2016-12-19_10:41,42,265,202,6,57,76.2264,11,53
2016-12-19_10:42,44,265,211,10,44,79.6226,12,56
2016-12-19_10:43,46,265,217,12,36,81.8868,12,59
2016-12-19_10:45,48,265,218,16,31,82.2642,11,52
2016-12-19_10:46,50,265,222,21,22,83.7736,11,51
2016-12-19_10:47,52,265,222,25,18,83.7736,11,53
2016-12-19_10:48,54,265,222,27,16,83.7736,12,50
2016-12-19_10:49,56,265,226,27,12,85.283,11,52
2016-12-19_10:50,58,265,229,28,8,86.4151,12,54
2016-12-19_10:51,60,265,230,29,6,86.7925,11,58
2016-12-19_10:52,62,265,232,29,4,87.5472,13,58
2016-12-19_10:53,64,265,232,30,3,87.5472,12,58
2016-12-19_10:55,66,265,232,30,3,87.5472,12,58
2016-12-19_10:56,68,265,232,30,3,87.5472,13,58
2016-12-19_10:57,70,265,232,31,2,87.5472,12,59
2016-12-19_10:58,72,265,232,31,2,87.5472,12,58
2016-12-19_10:59,74,265,233,31,1,87.9245,12,59
2016-12-19_11:00,76,265,233,31,1,87.9245,12,57
2016-12-19_11:02,78,265,233,31,1,87.9245,12,58
2016-12-19_11:03,80,265,233,31,1,87.9245,13,57
2016-12-19_11:04,82,265,233,31,1,87.9245,12,58
2016-12-19_11:05,84,265,234,31,0,88.3019,13,56
2016-12-19_11:06,86,265,234,31,0,88.3019,13,58
2016-12-19_11:07,88,265,234,31,0,88.3019,13,57
2016-12-19_11:09,90,265,234,31,0,88.3019,12,58
2016-12-19_11:10,92,265,234,31,0,88.3019,13,58
2016-12-19_11:11,94,265,234,31,0,88.3019,13,58
2016-12-19_11:12,96,265,234,31,0,88.3019,13,58
2016-12-19_11:13,98,265,234,31,0,88.3019,12,57
2016-12-19_11:14,100,265,234,31,0,88.3019,11,58
2016-12-19_11:16,2,265,0,0,265,0,12,59
2016-12-19_11:17,4,265,0,0,265,0,11,56
2016-12-19_11:18,6,265,0,0,265,0,12,57
2016-12-19_11:19,8,265,0,0,265,0,12,58
2016-12-19_11:20,10,265,0,0,265,0,12,58
2016-12-19_11:21,12,265,1,0,264,0.377358,12,58
2016-12-19_11:23,14,265,1,0,264,0.377358,13,57
2016-12-19_11:24,16,265,5,0,260,1.88679,12,59
2016-12-19_11:25,18,265,31,0,234,11.6981,12,57
2016-12-19_11:26,20,265,69,0,196,26.0377,13,57
2016-12-19_11:27,22,265,84,0,181,31.6981,13,58
2016-12-19_11:28,24,265,86,0,179,32.4528,12,58
2016-12-19_11:30,26,265,87,0,178,32.8302,13,57
2016-12-19_11:31,28,265,94,0,171,35.4717,13,56
2016-12-19_11:32,30,265,107,0,158,40.3774,13,56
2016-12-19_11:33,32,265,119,0,146,44.9057,12,58
2016-12-19_11:34,34,265,138,0,127,52.0755,13,57
2016-12-19_11:35,36,265,152,2,111,57.3585,13,58
2016-12-19_11:37,38,265,167,4,94,63.0189,12,59
2016-12-19_11:38,40,265,186,5,74,70.1887,12,58
2016-12-19_11:39,42,265,202,6,57,76.2264,12,58
2016-12-19_11:40,44,265,211,10,44,79.6226,13,57
2016-12-19_11:41,46,265,217,12,36,81.8868,13,56
2016-12-19_11:42,48,265,218,16,31,82.2642,12,53
2016-12-19_11:44,50,265,222,21,22,83.7736,12,56
2016-12-19_11:45,52,265,222,25,18,83.7736,12,58
2016-12-19_11:46,54,265,222,27,16,83.7736,12,58
2016-12-19_11:47,56,265,226,27,12,85.283,11,58
2016-12-19_11:48,58,265,229,28,8,86.4151,13,58
2016-12-19_11:49,60,265,230,29,6,86.7925,12,58
2016-12-19_11:51,62,265,232,29,4,87.5472,12,58
2016-12-19_11:52,64,265,232,30,3,87.5472,13,57
2016-12-19_11:53,66,265,232,30,3,87.5472,12,58
2016-12-19_11:54,68,265,232,30,3,87.5472,13,57
2016-12-19_11:55,70,265,232,31,2,87.5472,13,57
2016-12-19_11:56,72,265,232,31,2,87.5472,12,57
2016-12-19_11:58,74,265,233,31,1,87.9245,12,57
2016-12-19_11:59,76,265,233,31,1,87.9245,12,58
2016-12-19_12:00,78,265,233,31,1,87.9245,13,58
2016-12-19_12:01,80,265,233,31,1,87.9245,12,59
2016-12-19_12:02,82,265,233,31,1,87.9245,12,58
2016-12-19_12:03,84,265,234,31,0,88.3019,13,58
2016-12-19_12:05,86,265,234,31,0,88.3019,12,58
2016-12-19_12:06,88,265,234,31,0,88.3019,12,56
2016-12-19_12:07,90,265,234,31,0,88.3019,12,58
2016-12-19_12:08,92,265,234,31,0,88.3019,13,57
2016-12-19_12:09,94,265,234,31,0,88.3019,13,58
2016-12-19_12:10,96,265,234,31,0,88.3019,12,58
2016-12-19_12:12,98,265,234,31,0,88.3019,13,58
2016-12-19_12:13,100,265,234,31,0,88.3019,13,57
