Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-25_08:42,2,265,0,0,265,0,10,48
2016-12-25_08:43,4,265,0,0,265,0,10,47
2016-12-25_08:44,6,265,0,0,265,0,10,48
2016-12-25_08:45,8,265,0,0,265,0,10,47
2016-12-25_08:46,10,265,0,0,265,0,10,48
2016-12-25_08:47,12,265,0,0,265,0,10,47
2016-12-25_08:48,14,265,0,0,265,0,11,47
2016-12-25_08:49,16,265,5,0,260,1.88679,10,47
2016-12-25_08:50,18,265,28,0,237,10.566,11,47
2016-12-25_08:51,20,265,63,0,202,23.7736,10,47
2016-12-25_08:52,22,265,77,0,188,29.0566,11,47
2016-12-25_08:53,24,265,81,0,184,30.566,10,47
2016-12-25_08:54,26,265,81,0,184,30.566,11,47
2016-12-25_08:55,28,265,88,0,177,33.2075,10,47
2016-12-25_08:56,30,265,97,0,168,36.6038,11,47
2016-12-25_08:57,32,265,110,0,155,41.5094,10,47
2016-12-25_08:58,34,265,130,2,133,49.0566,11,47
2016-12-25_08:59,36,265,147,3,115,55.4717,10,48
2016-12-25_09:00,38,265,167,4,94,63.0189,10,47
2016-12-25_09:00,40,265,179,7,79,67.5472,10,47
2016-12-25_09:01,42,265,185,9,71,69.8113,10,48
2016-12-25_09:02,44,265,194,12,59,73.2075,10,47
2016-12-25_09:03,46,265,205,17,43,77.3585,10,47
2016-12-25_09:04,48,265,208,17,40,78.4906,10,47
2016-12-25_09:05,50,265,214,22,29,80.7547,11,47
2016-12-25_09:06,52,265,215,26,24,81.1321,10,47
2016-12-25_09:07,54,265,219,28,18,82.6415,10,47
2016-12-25_09:08,56,265,219,29,17,82.6415,10,48
2016-12-25_09:09,58,265,220,30,15,83.0189,10,47
2016-12-25_09:10,60,265,221,32,12,83.3962,10,47
2016-12-25_09:11,62,265,224,33,8,84.5283,10,48
2016-12-25_09:12,64,265,224,37,4,84.5283,10,47
2016-12-25_09:13,66,265,225,37,3,84.9057,10,48
2016-12-25_09:14,68,265,225,38,2,84.9057,10,48
2016-12-25_09:15,70,265,225,38,2,84.9057,10,47
2016-12-25_09:16,72,265,225,39,1,84.9057,10,47
2016-12-25_09:17,74,265,225,39,1,84.9057,10,47
2016-12-25_09:18,76,265,226,39,0,85.283,10,47
2016-12-25_09:19,78,265,226,39,0,85.283,10,47
2016-12-25_09:20,80,265,226,39,0,85.283,10,47
2016-12-25_09:21,82,265,226,39,0,85.283,10,48
2016-12-25_09:22,84,265,226,39,0,85.283,10,48
2016-12-25_09:23,86,265,226,39,0,85.283,10,47
2016-12-25_09:23,88,265,226,39,0,85.283,11,47
2016-12-25_09:24,90,265,226,39,0,85.283,10,48
2016-12-25_09:25,92,265,226,39,0,85.283,10,47
2016-12-25_09:26,94,265,226,39,0,85.283,10,47
2016-12-25_09:27,96,265,226,39,0,85.283,10,48
2016-12-25_09:28,98,265,226,39,0,85.283,10,48
2016-12-25_09:29,100,265,226,39,0,85.283,10,47
2016-12-25_09:30,2,265,0,0,265,0,11,47
2016-12-25_09:31,4,265,0,0,265,0,10,48
2016-12-25_09:32,6,265,0,0,265,0,10,47
2016-12-25_09:33,8,265,0,0,265,0,10,48
2016-12-25_09:34,10,265,0,0,265,0,10,47
2016-12-25_09:35,12,265,0,0,265,0,10,47
2016-12-25_09:36,14,265,0,0,265,0,10,48
2016-12-25_09:37,16,265,5,0,260,1.88679,10,47
2016-12-25_09:38,18,265,28,0,237,10.566,11,47
2016-12-25_09:39,20,265,63,0,202,23.7736,10,48
2016-12-25_09:40,22,265,77,0,188,29.0566,10,47
2016-12-25_09:41,24,265,81,0,184,30.566,11,47
2016-12-25_09:42,26,265,81,0,184,30.566,10,48
2016-12-25_09:43,28,265,88,0,177,33.2075,10,48
2016-12-25_09:44,30,265,97,0,168,36.6038,10,47
2016-12-25_09:45,32,265,110,0,155,41.5094,10,48
2016-12-25_09:46,34,265,130,2,133,49.0566,10,48
2016-12-25_09:47,36,265,147,3,115,55.4717,10,48
2016-12-25_09:48,38,265,167,4,94,63.0189,10,47
2016-12-25_09:48,40,265,179,7,79,67.5472,10,48
