Date & Time,Threshold,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-04_16:34,0,0,391,0,171,111
2016-12-04_16:38,5,4,237,38.3632,169,108
2016-12-04_16:43,10,47,106,60.8696,168,109
2016-12-04_16:48,15,88,36,68.2864,171,109
2016-12-04_16:52,20,108,8,70.3325,168,107
2016-12-04_16:57,25,113,1,70.844,190,120
2016-12-04_17:02,30,113,0,71.0997,178,115
2016-12-04_17:07,35,113,0,71.0997,182,112
2016-12-04_17:12,40,113,0,71.0997,189,121
2016-12-04_17:17,45,113,0,71.0997,189,121
2016-12-04_17:22,50,113,0,71.0997,189,120
2016-12-04_17:28,55,113,0,71.0997,188,120
2016-12-04_17:33,60,113,0,71.0997,171,117
2016-12-04_17:38,65,113,0,71.0997,180,105
2016-12-04_17:42,70,113,0,71.0997,175,104
2016-12-04_17:47,75,113,0,71.0997,186,121
2016-12-04_17:52,80,113,0,71.0997,190,120
2016-12-04_17:57,85,113,0,71.0997,188,121
2016-12-04_18:03,90,113,0,71.0997,178,120
2016-12-04_18:08,95,113,0,71.0997,189,120
2016-12-04_18:13,100,113,0,71.0997,186,121
2016-12-04_18:18,105,113,0,71.0997,186,121
2016-12-04_18:23,110,113,0,71.0997,187,121
2016-12-04_18:28,115,113,0,71.0997,190,120
2016-12-04_18:33,120,113,0,71.0997,184,120
2016-12-04_18:39,125,113,0,71.0997,184,145
2016-12-04_18:44,130,113,0,71.0997,179,114
2016-12-04_18:49,135,113,0,71.0997,188,120
2016-12-04_18:54,140,113,0,71.0997,188,118
2016-12-04_18:59,145,113,0,71.0997,175,120
2016-12-04_19:04,150,113,0,71.0997,188,120
2016-12-04_19:09,155,113,0,71.0997,184,120
2016-12-04_19:14,160,113,0,71.0997,188,120
2016-12-04_19:20,165,113,0,71.0997,189,120
2016-12-04_19:25,170,113,0,71.0997,189,120
2016-12-04_19:30,175,113,0,71.0997,186,120
2016-12-04_19:35,180,113,0,71.0997,189,118
2016-12-04_19:40,185,113,0,71.0997,190,119
2016-12-04_19:45,190,113,0,71.0997,188,121
2016-12-04_19:51,195,113,0,71.0997,188,120
2016-12-04_19:56,200,113,0,71.0997,188,121
2016-12-04_20:01,0,0,391,0,190,118
2016-12-04_20:06,5,4,237,38.3632,179,113
2016-12-04_20:11,10,47,106,60.8696,180,109
2016-12-04_20:16,15,88,36,68.2864,177,110
2016-12-04_20:21,20,108,8,70.3325,182,112
2016-12-04_20:26,25,113,1,70.844,181,118
2016-12-04_20:31,30,113,0,71.0997,184,117
