Date & Time,Threshold,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-11-26_18:16,40,0,231,0,12998,683
2016-11-26_20:11,30,0,231,0,5297,7
2016-11-26_21:39,32,0,231,0,5268,7
2016-11-26_23:38,80,0,231,0,5649,8
2016-11-27_09:59,80,0,231,0,5304,8
2016-11-27_12:04,70,0,231,0,5095,4
2016-11-27_13:30,72,0,231,0,5101,3
2016-11-27_14:55,74,0,231,0,5139,4
2016-11-27_16:23,76,0,231,0,5268,4
2016-11-27_17:48,78,0,231,0,5083,4
2016-11-27_19:22,80,0,231,0,5601,3
2016-11-27_20:47,70,0,231,0,5121,3
2016-11-27_22:13,72,0,231,0,5099,6
2016-11-27_23:38,74,0,231,0,5090,4
2016-11-28_01:02,76,0,231,0,5075,3
2016-11-28_02:29,78,0,231,0,5189,4
2016-11-28_03:54,80,0,231,0,5080,4
2016-11-28_17:00,200,0,231,0,5186,6
2016-11-28_18:25,225,0,231,0,5080,4
2016-11-28_19:50,250,0,231,0,5126,3
2016-11-28_21:15,275,0,231,0,5079,3
2016-11-28_22:40,300,0,231,0,5076,4
2016-11-29_00:09,200,0,231,0,5342,4
2016-11-29_01:34,225,0,231,0,5082,3
2016-11-29_02:59,250,0,231,0,5077,3
2016-11-29_04:24,275,0,231,0,5079,4
2016-11-29_05:49,300,0,231,0,5077,3
2016-11-29_12:04,500,0,231,0,5077,3
2016-11-29_13:32,550,0,231,0,5189,6
2016-11-29_14:57,600,0,231,0,5084,3
2016-11-29_16:22,650,0,231,0,5099,6
2016-11-29_17:48,700,0,231,0,5131,4
2016-11-29_19:13,750,0,231,0,5078,4
2016-11-29_20:38,800,0,231,0,5082,3
2016-11-29_22:14,100,0,231,0,5081,1
2016-11-29_23:40,150,0,231,0,5161,2
2016-11-30_01:09,200,0,231,0,5286,2
2016-11-30_02:34,250,0,231,0,5135,2
2016-11-30_04:01,300,0,231,0,5193,2
2016-11-30_05:26,100,0,231,0,5057,1
2016-11-30_06:51,150,0,231,0,5097,2
2016-11-30_08:15,200,0,231,0,5050,2
2016-11-30_09:40,250,0,231,0,5052,2
2016-11-30_11:13,300,0,231,0,5594,3
2016-12-04_15:32,1000,2,389,0,8004,7
2016-12-04_17:43,1500,2,387,0.511509,7878,7
2016-12-04_20:03,2000,2,383,1.53453,8390,6
2016-12-04_22:26,2500,2,379,2.55754,8568,7
2016-12-05_00:39,3000,2,372,4.34783,7961,7
2016-12-05_21:40,3500,2,368,5.37084,7694,5
2016-12-06_13:14,4000,2,361,7.16113,7731,7
2016-12-06_15:23,4500,2,355,8.69565,7726,7
2016-12-06_17:33,5000,2,345,11.2532,7778,7
2016-12-06_19:42,5500,2,335,13.8107,7755,5
2016-12-06_21:52,6000,3,326,15.8568,7762,6
2016-12-07_00:00,6500,3,315,18.6701,7674,6
2016-12-07_02:09,7000,5,305,20.7161,7729,7
2016-12-07_04:17,7500,7,296,22.5064,7675,6
2016-12-07_06:24,8000,8,292,23.2737,7596,6
2016-12-07_08:32,8500,9,284,25.0639,7711,5
2016-12-07_10:50,9000,10,277,26.5985,8270,7
2016-12-07_13:12,9500,16,265,28.133,8498,7
2016-12-07_15:18,10000,19,259,28.9003,7580,6
