Date & Time,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-11-26_10:43,58,0,74.8918,111,43
2016-11-26_10:46,21,59,65.368,111,42
2016-11-26_10:54,21,59,65.368,111,43
2016-11-26_10:57,33,41,67.9654,111,42
2016-11-26_10:59,43,27,69.697,110,42
2016-11-26_11:02,49,16,71.8615,111,43
2016-11-26_11:05,53,9,73.1602,111,43
2016-11-26_11:07,54,5,74.4589,110,43
2016-11-26_11:10,56,3,74.4589,111,42
2016-11-26_11:13,57,2,74.4589,111,43
2016-11-26_11:15,58,1,74.4589,110,43
2016-11-26_11:18,58,1,74.4589,111,42
2016-11-26_11:21,58,0,74.8918,110,53
2016-11-26_11:23,58,0,74.8918,111,43
2016-11-26_11:26,58,0,74.8918,110,43
2016-11-26_11:29,58,0,74.8918,111,42
2016-11-26_11:31,58,0,74.8918,110,43
2016-11-26_11:34,58,0,74.8918,111,43
2016-11-26_11:37,58,0,74.8918,112,42
2016-11-26_11:39,58,0,74.8918,110,43
2016-11-26_11:42,58,0,74.8918,111,42
2016-11-26_11:45,58,0,74.8918,111,42
2016-11-26_11:47,58,0,74.8918,111,42
2016-11-26_11:50,58,0,74.8918,110,42
2016-11-26_11:53,58,0,74.8918,111,43
2016-11-26_11:55,58,0,74.8918,111,43
2016-11-26_11:58,58,0,74.8918,111,43
2016-11-26_12:01,58,0,74.8918,111,42
2016-11-26_12:03,58,0,74.8918,110,43
2016-11-26_12:06,58,0,74.8918,111,42
2016-11-26_12:09,58,0,74.8918,111,43
2016-11-26_12:11,58,0,74.8918,111,42
2016-11-26_12:14,58,0,74.8918,110,42
2016-11-26_12:17,21,59,65.368,110,42
2016-11-26_12:19,33,41,67.9654,110,42
2016-11-26_12:22,43,27,69.697,110,42
2016-11-26_12:25,49,16,71.8615,111,43
2016-11-26_12:27,53,9,73.1602,110,42
2016-11-26_12:30,54,5,74.4589,110,42
2016-11-26_12:33,56,3,74.4589,110,43
2016-11-26_12:35,57,2,74.4589,111,43
2016-11-26_12:38,58,1,74.4589,110,43
2016-11-26_12:41,58,1,74.4589,111,43
2016-11-26_12:43,58,0,74.8918,111,42
2016-11-26_12:46,58,0,74.8918,111,42
2016-11-26_12:49,58,0,74.8918,110,42
2016-11-26_12:51,58,0,74.8918,111,42
2016-11-26_12:54,58,0,74.8918,110,42
2016-11-26_12:57,58,0,74.8918,111,42
2016-11-26_12:59,58,0,74.8918,110,42
2016-11-26_13:02,58,0,74.8918,110,42
2016-11-26_13:04,58,0,74.8918,110,42
2016-11-26_13:07,58,0,74.8918,110,42
2016-11-26_13:10,58,0,74.8918,110,42
2016-11-26_13:12,58,0,74.8918,110,42
2016-11-26_13:15,58,0,74.8918,111,42
2016-11-26_13:18,58,0,74.8918,111,42
2016-11-26_13:20,58,0,74.8918,111,42
2016-11-26_13:23,58,0,74.8918,111,42
2016-11-26_13:26,58,0,74.8918,111,42
2016-11-26_13:28,58,0,74.8918,112,42
2016-11-26_13:31,58,0,74.8918,110,42
2016-11-26_13:34,58,0,74.8918,111,42
2016-11-26_13:36,58,0,74.8918,110,42
2016-11-26_13:39,21,59,65.368,110,43
2016-11-26_13:42,33,41,67.9654,111,42
2016-11-26_13:44,43,27,69.697,111,43
2016-11-26_13:47,49,16,71.8615,111,42
2016-11-26_13:50,53,9,73.1602,110,42
2016-11-26_13:52,54,5,74.4589,110,42
2016-11-26_13:55,56,3,74.4589,110,42
2016-11-26_13:58,57,2,74.4589,110,43
2016-11-26_14:00,58,1,74.4589,111,43
2016-11-26_14:03,58,1,74.4589,111,42
2016-11-26_14:06,58,0,74.8918,111,42
2016-11-26_14:08,58,0,74.8918,110,43
2016-11-26_14:11,58,0,74.8918,110,43
2016-11-26_14:14,58,0,74.8918,111,42
2016-11-26_14:16,58,0,74.8918,110,42
2016-11-26_14:19,58,0,74.8918,111,43
2016-11-26_14:22,58,0,74.8918,110,42
2016-11-26_14:24,58,0,74.8918,110,42
2016-11-26_14:27,58,0,74.8918,111,41
2016-11-26_14:29,58,0,74.8918,111,41
2016-11-26_14:32,58,0,74.8918,110,41
2016-11-26_14:35,58,0,74.8918,110,41
2016-11-26_14:37,58,0,74.8918,110,42
2016-11-26_14:40,58,0,74.8918,111,41
2016-11-26_14:43,58,0,74.8918,110,41
2016-11-26_14:45,58,0,74.8918,110,42
2016-11-26_14:48,58,0,74.8918,111,42
2016-11-26_14:51,58,0,74.8918,110,42
2016-11-26_14:53,58,0,74.8918,111,52
2016-11-26_14:56,58,0,74.8918,111,41
2016-11-26_14:59,58,0,74.8918,110,42
2016-11-26_15:01,21,59,65.368,110,42
2016-11-26_15:04,33,41,67.9654,112,42
2016-11-26_15:07,43,27,69.697,111,42
2016-11-26_15:09,49,16,71.8615,111,43
2016-11-26_15:12,53,9,73.1602,110,42
2016-11-26_15:15,54,5,74.4589,111,42
2016-11-26_15:17,56,3,74.4589,110,42
