Date & Time,Threshold,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-11-26_18:16,40,0,231,0,12998,683
2016-11-26_20:11,30,0,231,0,5297,7
2016-11-26_21:39,32,0,231,0,5268,7
2016-11-26_23:38,80,0,231,0,5649,8
2016-11-27_09:59,80,0,231,0,5304,8
2016-11-27_12:04,70,0,231,0,5095,4
2016-11-27_13:30,72,0,231,0,5101,3
2016-11-27_14:55,74,0,231,0,5139,4
2016-11-27_16:23,76,0,231,0,5268,4
2016-11-27_17:48,78,0,231,0,5083,4
2016-11-27_19:22,80,0,231,0,5601,3
2016-11-27_20:47,70,0,231,0,5121,3
2016-11-27_22:13,72,0,231,0,5099,6
2016-11-27_23:38,74,0,231,0,5090,4
2016-11-28_01:02,76,0,231,0,5075,3
2016-11-28_02:29,78,0,231,0,5189,4
2016-11-28_03:54,80,0,231,0,5080,4
