Date & Time,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-11-27_08:25,0,231,0,110,42
2016-11-27_08:28,0,228,1.2987,110,42
2016-11-27_08:30,2,153,32.9004,112,42
2016-11-27_08:33,4,107,51.9481,113,41
2016-11-27_08:36,9,79,61.9048,111,41
2016-11-27_08:38,21,59,65.368,111,42
2016-11-27_08:41,33,41,67.9654,112,42
2016-11-27_08:44,43,27,69.697,110,41
2016-11-27_08:46,49,16,71.8615,110,42
2016-11-27_08:49,53,9,73.1602,110,41
2016-11-27_08:51,54,5,74.4589,111,41
2016-11-27_08:54,56,3,74.4589,110,41
2016-11-27_08:57,57,2,74.4589,110,41
2016-11-27_08:59,58,1,74.4589,110,42
2016-11-27_09:02,58,1,74.4589,111,42
2016-11-27_09:05,58,0,74.8918,110,42
2016-11-27_09:07,58,0,74.8918,110,41
2016-11-27_09:10,58,0,74.8918,111,42
2016-11-27_09:13,58,0,74.8918,111,42
2016-11-27_09:15,58,0,74.8918,111,43
2016-11-27_09:18,58,0,74.8918,110,42
2016-11-27_09:21,58,0,74.8918,110,42
2016-11-27_09:23,58,0,74.8918,110,42
2016-11-27_09:26,58,0,74.8918,111,41
2016-11-27_09:29,58,0,74.8918,110,51
2016-11-27_09:31,58,0,74.8918,110,42
2016-11-27_09:34,58,0,74.8918,110,42
2016-11-27_09:37,58,0,74.8918,110,42
2016-11-27_09:39,58,0,74.8918,110,42
2016-11-27_09:42,58,0,74.8918,111,41
2016-11-27_09:45,58,0,74.8918,111,43
2016-11-27_09:47,0,231,0,110,41
2016-11-27_09:50,0,228,1.2987,110,42
2016-11-27_09:52,2,153,32.9004,110,42
2016-11-27_09:55,4,107,51.9481,110,41
2016-11-27_09:58,9,79,61.9048,111,41
2016-11-27_10:00,21,59,65.368,110,42
2016-11-27_10:03,33,41,67.9654,110,42
2016-11-27_10:06,43,27,69.697,110,42
2016-11-27_10:08,49,16,71.8615,110,42
2016-11-27_10:11,53,9,73.1602,110,41
2016-11-27_10:14,54,5,74.4589,110,42
2016-11-27_10:16,56,3,74.4589,110,42
2016-11-27_10:19,57,2,74.4589,110,41
2016-11-27_10:22,58,1,74.4589,110,42
2016-11-27_10:24,58,1,74.4589,111,42
2016-11-27_10:27,58,0,74.8918,111,41
2016-11-27_10:30,58,0,74.8918,110,42
2016-11-27_10:32,58,0,74.8918,111,41
2016-11-27_10:35,58,0,74.8918,110,42
2016-11-27_10:38,58,0,74.8918,111,42
2016-11-27_10:40,58,0,74.8918,110,41
2016-11-27_10:43,58,0,74.8918,111,41
2016-11-27_10:45,58,0,74.8918,111,42
2016-11-27_10:48,58,0,74.8918,110,42
2016-11-27_10:51,58,0,74.8918,111,42
2016-11-27_10:53,58,0,74.8918,110,41
2016-11-27_10:56,58,0,74.8918,110,41
2016-11-27_10:59,58,0,74.8918,110,41
2016-11-27_11:01,58,0,74.8918,111,43
2016-11-27_11:04,58,0,74.8918,111,42
2016-11-27_11:07,58,0,74.8918,111,42
2016-11-27_11:09,0,231,0,110,41
2016-11-27_11:12,0,228,1.2987,111,41
2016-11-27_11:15,2,153,32.9004,110,42
2016-11-27_11:17,4,107,51.9481,111,42
2016-11-27_11:20,9,79,61.9048,111,41
2016-11-27_11:23,21,59,65.368,110,43
2016-11-27_11:25,33,41,67.9654,111,42
2016-11-27_11:28,43,27,69.697,110,52
2016-11-27_11:31,49,16,71.8615,111,41
2016-11-27_11:33,53,9,73.1602,111,42
2016-11-27_11:36,54,5,74.4589,111,42
2016-11-27_11:39,56,3,74.4589,111,41
2016-11-27_11:41,57,2,74.4589,110,41
2016-11-27_11:44,58,1,74.4589,110,42
2016-11-27_11:47,58,1,74.4589,110,41
2016-11-27_11:49,58,0,74.8918,110,42
2016-11-27_11:52,58,0,74.8918,110,42
2016-11-27_11:55,58,0,74.8918,112,42
2016-11-27_11:57,58,0,74.8918,110,42
2016-11-27_12:00,58,0,74.8918,110,41
2016-11-27_12:02,58,0,74.8918,110,41
2016-11-27_12:05,58,0,74.8918,110,41
2016-11-27_12:08,58,0,74.8918,112,42
2016-11-27_12:10,58,0,74.8918,110,41
2016-11-27_12:13,58,0,74.8918,110,43
2016-11-27_12:16,58,0,74.8918,112,42
2016-11-27_12:18,58,0,74.8918,111,41
2016-11-27_12:21,58,0,74.8918,111,42
2016-11-27_12:24,58,0,74.8918,111,41
2016-11-27_12:26,58,0,74.8918,110,43
2016-11-27_12:29,58,0,74.8918,110,42
2016-11-27_12:32,0,231,0,112,42
2016-11-27_12:34,0,228,1.2987,110,42
2016-11-27_12:37,2,153,32.9004,110,42
2016-11-27_12:40,4,107,51.9481,111,41
2016-11-27_12:42,9,79,61.9048,111,41
2016-11-27_12:45,21,59,65.368,111,42
2016-11-27_12:48,33,41,67.9654,112,42
2016-11-27_12:50,43,27,69.697,111,42
2016-11-27_12:53,49,16,71.8615,110,42
2016-11-27_12:56,53,9,73.1602,111,42
2016-11-27_12:58,54,5,74.4589,110,41
2016-11-27_13:01,56,3,74.4589,111,42
2016-11-27_13:04,57,2,74.4589,111,42
2016-11-27_13:06,58,1,74.4589,110,42
2016-11-27_13:09,58,1,74.4589,110,42
2016-11-27_13:12,58,0,74.8918,110,42
2016-11-27_13:14,58,0,74.8918,110,41
2016-11-27_13:17,58,0,74.8918,110,41
2016-11-27_13:19,58,0,74.8918,110,41
2016-11-27_13:22,58,0,74.8918,111,42
2016-11-27_13:25,58,0,74.8918,111,42
2016-11-27_13:27,58,0,74.8918,111,42
2016-11-27_13:30,58,0,74.8918,111,41
2016-11-27_13:33,58,0,74.8918,110,41
2016-11-27_13:35,58,0,74.8918,111,41
2016-11-27_13:38,58,0,74.8918,110,43
2016-11-27_13:41,58,0,74.8918,111,42
2016-11-27_13:43,58,0,74.8918,110,42
2016-11-27_13:46,58,0,74.8918,111,41
2016-11-27_13:49,58,0,74.8918,111,41
2016-11-27_13:51,58,0,74.8918,111,42
2016-11-27_13:54,0,231,0,111,42
2016-11-27_13:57,0,228,1.2987,111,42
2016-11-27_13:59,2,153,32.9004,112,42
2016-11-27_14:02,4,107,51.9481,112,42
2016-11-27_14:05,9,79,61.9048,111,42
2016-11-27_14:08,21,59,65.368,110,41
2016-11-27_14:10,33,41,67.9654,110,42
2016-11-27_14:13,43,27,69.697,109,42
2016-11-27_14:16,49,16,71.8615,111,41
2016-11-27_14:18,53,9,73.1602,110,42
2016-11-27_14:21,54,5,74.4589,110,42
2016-11-27_14:24,56,3,74.4589,111,42
2016-11-27_14:26,57,2,74.4589,112,42
2016-11-27_14:29,58,1,74.4589,111,42
2016-11-27_14:32,58,1,74.4589,111,42
2016-11-27_14:34,58,0,74.8918,112,42
2016-11-27_14:37,58,0,74.8918,112,42
2016-11-27_14:40,58,0,74.8918,113,41
2016-11-27_14:42,58,0,74.8918,111,42
2016-11-27_14:45,58,0,74.8918,112,42
2016-11-27_14:48,58,0,74.8918,111,42
2016-11-27_14:50,58,0,74.8918,111,42
2016-11-27_14:53,58,0,74.8918,110,41
2016-11-27_14:56,58,0,74.8918,110,42
2016-11-27_14:59,58,0,74.8918,111,41
2016-11-27_15:01,58,0,74.8918,111,42
2016-11-27_15:04,58,0,74.8918,111,42
2016-11-27_15:07,58,0,74.8918,111,41
2016-11-27_15:09,58,0,74.8918,111,42
2016-11-27_15:12,58,0,74.8918,111,41
2016-11-27_15:15,58,0,74.8918,110,42
2016-11-27_15:17,0,231,0,110,42
2016-11-27_15:20,0,228,1.2987,112,41
2016-11-27_15:23,2,153,32.9004,110,42
2016-11-27_15:25,4,107,51.9481,111,42
2016-11-27_15:28,9,79,61.9048,112,41
2016-11-27_15:31,21,59,65.368,112,42
2016-11-27_15:33,33,41,67.9654,112,41
2016-11-27_15:36,43,27,69.697,111,42
2016-11-27_15:39,49,16,71.8615,111,42
2016-11-27_15:42,53,9,73.1602,112,42
2016-11-27_15:44,54,5,74.4589,112,42
2016-11-27_15:47,56,3,74.4589,111,42
2016-11-27_15:50,57,2,74.4589,112,42
2016-11-27_15:52,58,1,74.4589,111,42
2016-11-27_15:55,58,1,74.4589,111,42
2016-11-27_15:58,58,0,74.8918,111,43
2016-11-27_16:00,58,0,74.8918,111,42
2016-11-27_16:03,58,0,74.8918,111,42
2016-11-27_16:06,58,0,74.8918,111,41
2016-11-27_16:08,58,0,74.8918,110,42
2016-11-27_16:11,58,0,74.8918,110,41
2016-11-27_16:14,58,0,74.8918,111,41
2016-11-27_16:16,58,0,74.8918,110,42
2016-11-27_16:19,58,0,74.8918,112,42
2016-11-27_16:22,58,0,74.8918,111,42
2016-11-27_16:24,58,0,74.8918,110,42
2016-11-27_16:27,58,0,74.8918,110,42
2016-11-27_16:30,58,0,74.8918,110,42
2016-11-27_16:32,58,0,74.8918,112,43
2016-11-27_16:35,58,0,74.8918,111,41
2016-11-27_16:38,58,0,74.8918,111,41
2016-11-27_16:40,0,231,0,112,42
2016-11-27_16:43,0,228,1.2987,111,41
2016-11-27_16:46,2,153,32.9004,110,42
2016-11-27_16:48,4,107,51.9481,110,42
2016-11-27_16:51,9,79,61.9048,112,43
2016-11-27_16:54,21,59,65.368,111,42
2016-11-27_16:56,33,41,67.9654,111,42
2016-11-27_16:59,43,27,69.697,111,42
2016-11-27_17:02,49,16,71.8615,110,41
2016-11-27_17:04,53,9,73.1602,110,42
2016-11-27_17:07,54,5,74.4589,111,41
2016-11-27_17:09,56,3,74.4589,112,42
2016-11-27_17:12,57,2,74.4589,112,42
2016-11-27_17:15,58,1,74.4589,113,42
2016-11-27_17:18,58,1,74.4589,112,42
2016-11-27_17:20,58,0,74.8918,112,42
2016-11-27_17:23,58,0,74.8918,111,42
2016-11-27_17:26,58,0,74.8918,111,42
2016-11-27_17:28,58,0,74.8918,111,42
2016-11-27_17:31,58,0,74.8918,111,42
2016-11-27_17:34,58,0,74.8918,111,42
2016-11-27_17:36,58,0,74.8918,110,42
2016-11-27_17:39,58,0,74.8918,110,42
2016-11-27_17:42,58,0,74.8918,110,41
2016-11-27_17:44,58,0,74.8918,110,41
