Date & Time,Threshold,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-11_15:56,1000,3,387,0.255754,18695,1397
2016-12-11_21:32,1500,3,387,0.255754,18750,1334
2016-12-12_02:54,2000,3,387,0.255754,17974,1421
2016-12-12_08:26,2500,3,387,0.255754,18454,1452
2016-12-12_14:01,3000,3,387,0.255754,18655,1495
2016-12-12_19:56,3500,3,387,0.255754,19778,1500
2016-12-13_01:52,4000,3,387,0.255754,19864,1502
2016-12-13_07:53,4500,3,387,0.255754,20146,1477
2016-12-13_13:48,5000,3,387,0.255754,19809,1491
2016-12-13_19:33,5500,3,387,0.255754,19217,1485
2016-12-14_01:21,6000,3,386,0.511509,19391,1491
2016-12-14_07:12,6500,3,386,0.511509,19560,1482
2016-12-14_12:59,7000,3,386,0.511509,19331,1519
2016-12-14_18:54,7500,3,386,0.511509,19783,1588
2016-12-15_01:00,8000,3,386,0.511509,20345,1592
2016-12-15_07:12,8500,3,383,1.27877,20711,1589
2016-12-15_13:20,9000,3,382,1.53453,20471,1600
2016-12-15_19:27,9500,3,375,3.32481,20441,1600
2016-12-16_01:35,10000,3,374,3.58056,20463,1586
2016-12-16_07:44,1000,3,387,0.255754,20512,1588
