Date & Time,Threshold,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-08_10:38,1000,2,263,0,1386,55
2016-12-08_11:02,1500,3,262,0,1424,56
2016-12-08_11:25,2000,6,253,2.26415,1328,57
2016-12-08_11:50,2500,6,232,10.1887,1451,61
2016-12-08_12:13,3000,7,200,21.8868,1310,56
2016-12-08_12:36,3500,10,171,31.6981,1314,58
2016-12-08_12:58,4000,16,140,41.1321,1276,60
2016-12-08_13:21,4500,28,98,52.4528,1272,58
2016-12-08_13:43,5000,35,67,61.5094,1273,53
2016-12-08_14:03,5500,46,30,71.3208,1144,44
2016-12-08_14:23,6000,52,12,75.8491,1166,45
2016-12-08_14:43,6500,56,6,76.6038,1139,44
2016-12-08_15:07,7000,57,3,77.3585,1388,62
2016-12-08_15:28,7500,57,2,77.7358,1229,54
2016-12-08_15:48,8000,57,2,77.7358,1143,45
2016-12-08_16:08,8500,57,0,78.4906,1148,45
2016-12-08_16:28,9000,57,0,78.4906,1167,46
2016-12-08_16:52,9500,57,0,78.4906,1383,58
2016-12-08_17:13,10000,57,0,78.4906,1178,54
2016-12-08_17:35,1000,2,263,0,1260,63
2016-12-08_17:56,1500,3,262,0,1232,53
2016-12-08_18:18,2000,6,253,2.26415,1279,49
2016-12-08_18:39,2500,6,232,10.1887,1179,49
2016-12-08_19:00,3000,7,200,21.8868,1212,59
2016-12-08_19:21,3500,10,171,31.6981,1204,47
2016-12-08_19:44,4000,16,140,41.1321,1312,56
2016-12-08_20:04,4500,28,98,52.4528,1180,46
2016-12-08_20:26,5000,35,67,61.5094,1243,55
2016-12-08_20:47,5500,46,30,71.3208,1213,47
2016-12-08_21:07,6000,52,12,75.8491,1184,46
2016-12-08_21:29,6500,56,6,76.6038,1240,57
2016-12-08_21:50,7000,57,3,77.3585,1222,47
2016-12-08_22:12,7500,57,2,77.7358,1241,47
2016-12-08_22:33,8000,57,2,77.7358,1222,54
2016-12-08_22:54,8500,57,0,78.4906,1222,52
2016-12-08_23:14,9000,57,0,78.4906,1161,45
2016-12-08_23:34,9500,57,0,78.4906,1149,45
2016-12-08_23:54,10000,57,0,78.4906,1148,46
