Date & Time,Threshold,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-07_17:21,10,42,111,60.8696,189,120
2016-12-07_17:26,12,69,67,65.2174,191,121
2016-12-07_17:32,14,90,41,66.4962,166,106
2016-12-07_17:36,16,103,25,67.2634,168,108
2016-12-07_17:41,18,111,16,67.5192,168,117
2016-12-07_17:46,20,116,8,68.2864,179,112
2016-12-07_17:50,22,118,3,69.0537,182,116
2016-12-07_17:55,24,119,2,69.0537,185,106
2016-12-07_18:00,26,120,1,69.0537,187,116
2016-12-07_18:05,28,121,0,69.0537,180,109
2016-12-07_18:10,30,121,0,69.0537,175,121
2016-12-07_18:15,32,121,0,69.0537,189,119
2016-12-07_18:20,34,121,0,69.0537,184,121
2016-12-07_18:26,36,121,0,69.0537,188,121
2016-12-07_18:31,38,121,0,69.0537,187,118
2016-12-07_18:36,40,121,0,69.0537,188,121
2016-12-07_18:41,42,121,0,69.0537,167,108
2016-12-07_18:46,44,121,0,69.0537,168,108
2016-12-07_18:50,46,121,0,69.0537,185,120
2016-12-07_18:55,48,121,0,69.0537,189,120
2016-12-07_19:00,50,121,0,69.0537,173,120
2016-12-07_19:05,52,121,0,69.0537,169,130
2016-12-07_19:10,54,121,0,69.0537,175,113
2016-12-07_19:15,56,121,0,69.0537,168,106
2016-12-07_19:20,58,121,0,69.0537,174,117
2016-12-07_19:25,60,121,0,69.0537,181,121
2016-12-07_19:30,62,121,0,69.0537,178,117
2016-12-07_19:35,64,121,0,69.0537,184,115
2016-12-07_19:40,66,121,0,69.0537,182,111
2016-12-07_19:45,68,121,0,69.0537,166,104
2016-12-07_19:49,70,121,0,69.0537,177,107
2016-12-07_19:54,72,121,0,69.0537,166,106
2016-12-07_19:58,74,121,0,69.0537,180,107
2016-12-07_20:03,76,121,0,69.0537,187,120
2016-12-07_20:08,78,121,0,69.0537,188,119
2016-12-07_20:14,80,121,0,69.0537,166,105
2016-12-07_20:18,82,121,0,69.0537,187,121
2016-12-07_20:23,84,121,0,69.0537,190,120
2016-12-07_20:28,86,121,0,69.0537,187,121
2016-12-07_20:34,88,121,0,69.0537,168,106
2016-12-07_20:38,90,121,0,69.0537,164,109
2016-12-07_20:43,92,121,0,69.0537,165,109
2016-12-07_20:47,94,121,0,69.0537,189,121
2016-12-07_20:53,96,121,0,69.0537,174,117
2016-12-07_20:57,98,121,0,69.0537,186,114
2016-12-07_21:02,100,121,0,69.0537,183,114
2016-12-07_21:07,10,42,111,60.8696,186,120
2016-12-07_21:13,12,69,67,65.2174,185,114
2016-12-07_21:18,14,90,41,66.4962,182,120
2016-12-07_21:23,16,103,25,67.2634,185,117
2016-12-07_21:28,18,111,16,67.5192,179,114
2016-12-07_21:33,20,116,8,68.2864,173,117
2016-12-07_21:37,22,118,3,69.0537,183,116
2016-12-07_21:42,24,119,2,69.0537,185,118
2016-12-07_21:47,26,120,1,69.0537,184,118
2016-12-07_21:53,28,121,0,69.0537,185,111
2016-12-07_21:58,30,121,0,69.0537,181,112
2016-12-07_22:02,32,121,0,69.0537,181,112
2016-12-07_22:07,34,121,0,69.0537,186,116
2016-12-07_22:12,36,121,0,69.0537,184,117
2016-12-07_22:17,38,121,0,69.0537,180,111
2016-12-07_22:22,40,121,0,69.0537,179,110
2016-12-07_22:27,42,121,0,69.0537,178,116
2016-12-07_22:32,44,121,0,69.0537,180,117
2016-12-07_22:37,46,121,0,69.0537,174,106
2016-12-07_22:42,48,121,0,69.0537,189,121
2016-12-07_22:47,50,121,0,69.0537,189,120
2016-12-07_22:52,52,121,0,69.0537,189,121
2016-12-07_22:57,54,121,0,69.0537,167,105
2016-12-07_23:02,56,121,0,69.0537,188,121
2016-12-07_23:07,58,121,0,69.0537,189,120
2016-12-07_23:12,60,121,0,69.0537,192,121
2016-12-07_23:17,62,121,0,69.0537,168,108
2016-12-07_23:22,64,121,0,69.0537,167,105
2016-12-07_23:27,66,121,0,69.0537,167,106
2016-12-07_23:31,68,121,0,69.0537,194,121
2016-12-07_23:36,70,121,0,69.0537,189,120
2016-12-07_23:42,72,121,0,69.0537,172,121
2016-12-07_23:47,74,121,0,69.0537,189,121
2016-12-07_23:52,76,121,0,69.0537,165,106
2016-12-07_23:56,78,121,0,69.0537,164,106
2016-12-08_00:01,80,121,0,69.0537,190,109
2016-12-08_00:06,82,121,0,69.0537,169,121
2016-12-08_00:11,84,121,0,69.0537,189,120
2016-12-08_00:16,86,121,0,69.0537,168,118
2016-12-08_00:21,88,121,0,69.0537,168,106
2016-12-08_00:25,90,121,0,69.0537,168,108
2016-12-08_00:30,92,121,0,69.0537,189,120
2016-12-08_00:35,94,121,0,69.0537,167,105
2016-12-08_00:40,96,121,0,69.0537,169,108
2016-12-08_00:44,98,121,0,69.0537,168,106
2016-12-08_00:49,100,121,0,69.0537,189,120
