Date & Time,Threshold,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-08_10:15,10,1,264,0,12,58
2016-12-08_10:16,12,1,264,0,12,57
2016-12-08_10:17,14,1,264,0,12,55
2016-12-08_10:18,16,1,259,1.88679,11,58
2016-12-08_10:20,18,1,233,11.6981,12,52
2016-12-08_10:21,20,1,198,24.9057,11,56
2016-12-08_10:22,22,1,190,27.9245,13,58
2016-12-08_10:23,24,1,187,29.0566,12,49
2016-12-08_10:24,26,1,186,29.434,12,58
2016-12-08_10:25,28,1,178,32.4528,12,54
2016-12-08_10:26,30,1,169,35.8491,12,59
2016-12-08_10:27,32,1,157,40.3774,12,59
2016-12-08_10:29,34,2,140,46.4151,11,51
2016-12-08_10:30,36,5,117,53.9623,13,58
2016-12-08_10:31,38,9,94,61.1321,13,52
2016-12-08_10:32,40,14,75,66.4151,11,54
2016-12-08_10:33,42,17,62,70.1887,12,58
2016-12-08_10:34,44,21,49,73.5849,12,58
2016-12-08_10:35,46,22,38,77.3585,13,58
2016-12-08_10:37,48,25,29,79.6226,13,55
2016-12-08_10:38,50,28,22,81.1321,12,54
2016-12-08_10:39,52,31,16,82.2642,10,57
2016-12-08_10:40,54,31,16,82.2642,11,55
2016-12-08_10:41,56,32,14,82.6415,12,57
2016-12-08_10:42,58,33,11,83.3962,12,59
2016-12-08_10:43,60,33,8,84.5283,12,58
2016-12-08_10:45,62,33,8,84.5283,12,58
2016-12-08_10:46,64,34,7,84.5283,13,58
2016-12-08_10:47,66,36,4,84.9057,13,53
2016-12-08_10:48,68,36,3,85.283,11,51
2016-12-08_10:49,70,36,3,85.283,11,52
2016-12-08_10:50,72,36,3,85.283,12,51
2016-12-08_10:51,74,36,3,85.283,13,58
2016-12-08_10:52,76,36,3,85.283,13,58
2016-12-08_10:53,78,36,3,85.283,13,58
2016-12-08_10:55,80,36,3,85.283,13,58
2016-12-08_10:56,82,36,3,85.283,12,58
2016-12-08_10:57,84,36,2,85.6604,13,58
2016-12-08_10:58,86,36,1,86.0377,13,58
2016-12-08_10:59,88,37,0,86.0377,11,51
2016-12-08_11:00,90,37,0,86.0377,12,59
2016-12-08_11:02,92,37,0,86.0377,12,55
2016-12-08_11:03,94,37,0,86.0377,11,52
2016-12-08_11:04,96,37,0,86.0377,11,51
2016-12-08_11:05,98,37,0,86.0377,10,50
2016-12-08_11:06,100,37,0,86.0377,11,59
2016-12-08_11:07,10,1,264,0,11,51
2016-12-08_11:08,12,1,264,0,10,51
2016-12-08_11:09,14,1,264,0,11,50
2016-12-08_11:10,16,1,259,1.88679,12,58
2016-12-08_11:11,18,1,233,11.6981,12,52
2016-12-08_11:12,20,1,198,24.9057,11,59
2016-12-08_11:14,22,1,190,27.9245,11,52
2016-12-08_11:15,24,1,187,29.0566,11,51
2016-12-08_11:16,26,1,186,29.434,11,52
2016-12-08_11:17,28,1,178,32.4528,11,53
2016-12-08_11:18,30,1,169,35.8491,11,52
2016-12-08_11:19,32,1,157,40.3774,11,51
2016-12-08_11:20,34,2,140,46.4151,12,59
2016-12-08_11:21,36,5,117,53.9623,11,51
2016-12-08_11:22,38,9,94,61.1321,13,58
2016-12-08_11:23,40,14,75,66.4151,13,58
2016-12-08_11:24,42,17,62,70.1887,12,59
2016-12-08_11:26,44,21,49,73.5849,12,53
2016-12-08_11:27,46,22,38,77.3585,12,57
2016-12-08_11:28,48,25,29,79.6226,12,58
2016-12-08_11:29,50,28,22,81.1321,13,58
2016-12-08_11:30,52,31,16,82.2642,13,58
2016-12-08_11:31,54,31,16,82.2642,12,58
2016-12-08_11:33,56,32,14,82.6415,12,58
2016-12-08_11:34,58,33,11,83.3962,13,58
2016-12-08_11:35,60,33,8,84.5283,12,58
2016-12-08_11:36,62,33,8,84.5283,13,58
2016-12-08_11:37,64,34,7,84.5283,13,58
2016-12-08_11:38,66,36,4,84.9057,12,57
2016-12-08_11:40,68,36,3,85.283,13,58
2016-12-08_11:41,70,36,3,85.283,12,58
2016-12-08_11:42,72,36,3,85.283,12,58
2016-12-08_11:43,74,36,3,85.283,13,56
2016-12-08_11:44,76,36,3,85.283,12,58
2016-12-08_11:45,78,36,3,85.283,13,58
2016-12-08_11:47,80,36,3,85.283,12,59
2016-12-08_11:48,82,36,3,85.283,12,59
2016-12-08_11:49,84,36,2,85.6604,12,58
2016-12-08_11:50,86,36,1,86.0377,13,58
2016-12-08_11:51,88,37,0,86.0377,13,52
2016-12-08_11:52,90,37,0,86.0377,12,51
2016-12-08_11:53,92,37,0,86.0377,12,51
2016-12-08_11:55,94,37,0,86.0377,11,53
2016-12-08_11:56,96,37,0,86.0377,12,59
2016-12-08_11:57,98,37,0,86.0377,11,51
2016-12-08_11:58,100,37,0,86.0377,13,59
